Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-17 10:34:14.227, 

Snapshot Time Stamp, Data channel 1 (µm)
2022-06-17 11:45:37.557010,  351.92480
2022-06-17 11:45:37.566610,  351.92516
2022-06-17 11:45:37.576210,  351.92516
2022-06-17 11:45:37.585810,  351.92480
2022-06-17 11:45:37.595410,  351.92516
2022-06-17 11:45:37.605010,  351.92563
2022-06-17 11:45:37.614610,  351.92575
2022-06-17 11:45:37.624210,  351.92575
2022-06-17 11:45:37.633810,  351.92575
2022-06-17 11:45:37.643410,  351.92575
2022-06-17 11:45:37.653010,  351.92575
2022-06-17 11:45:37.662610,  351.92575
2022-06-17 11:45:37.672210,  351.92551
2022-06-17 11:45:37.681810,  351.92551
2022-06-17 11:45:37.691410,  351.92551
2022-06-17 11:45:37.701010,  351.92647
2022-06-17 11:45:37.710610,  351.92647
2022-06-17 11:45:37.720210,  351.92671
2022-06-17 11:45:37.729810,  351.92671
2022-06-17 11:45:37.739410,  351.92671
2022-06-17 11:45:37.749010,  351.92671
2022-06-17 11:45:37.758610,  351.92682
2022-06-17 11:45:37.768210,  351.92706
2022-06-17 11:45:37.777810,  351.92706
2022-06-17 11:45:37.787410,  351.92682
2022-06-17 11:45:37.797010,  351.92599
2022-06-17 11:45:37.806610,  351.92599
2022-06-17 11:45:37.816210,  351.92599
2022-06-17 11:45:37.825810,  351.92599
2022-06-17 11:45:37.835410,  351.92480
2022-06-17 11:45:37.845010,  351.92480
2022-06-17 11:45:37.854610,  351.92468
2022-06-17 11:45:37.864210,  351.92456
2022-06-17 11:45:37.873810,  351.92456
2022-06-17 11:45:37.883410,  351.92456
2022-06-17 11:45:37.893010,  351.92456
2022-06-17 11:45:37.902610,  351.92456
2022-06-17 11:45:37.912210,  351.92456
2022-06-17 11:45:37.921810,  351.92456
2022-06-17 11:45:37.931410,  351.92456
2022-06-17 11:45:37.941010,  351.92420
2022-06-17 11:45:37.950610,  351.92420
2022-06-17 11:45:37.960210,  351.92420
2022-06-17 11:45:37.969810,  351.92384
2022-06-17 11:45:37.979410,  351.92420
2022-06-17 11:45:37.989010,  351.92420
2022-06-17 11:45:37.998610,  351.92420
2022-06-17 11:45:38.008209,  351.92408
2022-06-17 11:45:38.017810,  351.92384
2022-06-17 11:45:38.027409,  351.92384
2022-06-17 11:45:38.037009,  351.92408
2022-06-17 11:45:38.046609,  351.92408
2022-06-17 11:45:38.056210,  351.92408
2022-06-17 11:45:38.065809,  351.92384
2022-06-17 11:45:38.075409,  351.92408
2022-06-17 11:45:38.085009,  351.92432
2022-06-17 11:45:38.094609,  351.92456
2022-06-17 11:45:38.104209,  351.92432
2022-06-17 11:45:38.113809,  351.92408
2022-06-17 11:45:38.123410,  351.92396
2022-06-17 11:45:38.133009,  351.92432
2022-06-17 11:45:38.142609,  351.92396
2022-06-17 11:45:38.152209,  351.92396
2022-06-17 11:45:38.161809,  351.92396
2022-06-17 11:45:38.171409,  351.92408
2022-06-17 11:45:38.181009,  351.92468
2022-06-17 11:45:38.190609,  351.92516
2022-06-17 11:45:38.200209,  351.92551
2022-06-17 11:45:38.209809,  351.92551
2022-06-17 11:45:38.219409,  351.92575
2022-06-17 11:45:38.229009,  351.92611
2022-06-17 11:45:38.238609,  351.92611
2022-06-17 11:45:38.248209,  351.92575
2022-06-17 11:45:38.257809,  351.92575
2022-06-17 11:45:38.267409,  351.92575
2022-06-17 11:45:38.277009,  351.92575
2022-06-17 11:45:38.286609,  351.92575
2022-06-17 11:45:38.296209,  351.92551
2022-06-17 11:45:38.305809,  351.92551
2022-06-17 11:45:38.315409,  351.92623
2022-06-17 11:45:38.325009,  351.92623
2022-06-17 11:45:38.334609,  351.92575
2022-06-17 11:45:38.344209,  351.92575
2022-06-17 11:45:38.353809,  351.92575
2022-06-17 11:45:38.363409,  351.92575
